Aktivitetstyp,Datum,Favorit,Namn,Distans,Kalorier,Tid,Medelpuls,Maxpuls,Aerobisk Training Effect,Medellöpkadens,Maximal löpkadens,Medeltempo,Bästa tempo,Total stigning,Totalt nedför,Medelsteglängd,Training Stress Score®,Steg,Dekompression,Bästa varvtid,Antal varv,Färdtid,Total tid,Min. höjd,Max. höjd
Löpning,2025-08-21 20:28:34,false,"Västerås Löpning","6.73","427","00:34:18","162","179","4.1","160","177","5:06","4:04","32","36","1.23","0.0","5,490","Nej","00:34:18","1","00:34:18","00:34:18","8","27"
Löpning,2025-08-17 20:13:23,false,"Västerås Löpning","10.01","643","00:51:17","166","179","5.0","160","171","5:07","4:19","137","141","1.22","0.0","8,216","Nej","00:51:17","1","00:51:16","00:51:17","11","57"
Löpning,2025-08-12 20:35:06,false,"Västerås Löpning","5.84","372","00:29:35","159","182","4.2","159","168","5:04","4:13","26","26","1.25","0.0","4,692","Nej","00:29:35","1","00:29:35","00:29:35","8","27"
Löpning,2025-08-10 17:33:08,false,"Västerås Löpning","8.89","569","00:45:04","171","184","5.0","160","170","5:04","3:56","41","45","1.24","0.0","7,200","Nej","00:45:04","1","00:45:00","00:45:04","7","27"
Löpning,2025-08-08 16:31:49,false,"Västerås Löpning","6.64","423","00:34:27","163","189","4.4","157","183","5:12","3:25","25","25","1.22","0.0","5,420","Nej","00:34:27","1","00:34:27","00:36:20","8","27"
Löpning,2025-08-06 20:23:39,false,"Västerås Löpning","6.77","429","00:35:03","162","182","4.4","158","168","5:11","3:56","29","29","1.22","0.0","5,534","Nej","00:35:03","1","00:35:03","00:35:03","9","27"
Löpning,2025-08-03 10:52:15,false,"Västerås Löpning","9.06","599","00:51:35","161","177","4.4","157","163","5:42","4:49","87","91","1.12","0.0","8,090","Nej","00:51:35","1","00:51:30","00:51:35","9","58"
Löpning,2025-08-01 15:08:02,false,"Västerås Löpning","8.35","543","00:44:39","164","181","4.7","158","173","5:21","4:08","45","45","1.18","0.0","7,058","Nej","00:44:39","1","00:44:34","00:46:24","7","39"
Löpning,2025-07-30 16:20:23,false,"Västerås Löpning","6.09","393","00:33:09","166","178","4.1","158","169","5:26","4:41","41","42","1.16","0.0","5,242","Nej","00:33:09","1","00:33:06","00:33:09","19","41"
Gång,2025-07-24 12:36:45,false,"Åre Gång","1.48","156","00:50:12","88","108","0.2","41","157","33:53","9:36","--","334","0.72","0.0","3,064","Nej","00:50:12","1","00:22:31","00:50:12","854","1,189"
Gång,2025-07-24 10:51:06,false,"Åre Gång","2.02","194","00:43:12","103","142","1.0","65","160","21:25","11:40","90","114","0.72","0.0","3,492","Nej","00:07:14.0","2","00:30:34","01:13:17","1,202","1,285"
Gång,2025-07-19 16:45:44,false,"Rauma Gång","2.42","246","01:08:28","99","126","0.3","63","160","28:18","11:45","61","434","0.55","0.0","5,442","Nej","00:15:55","2","00:46:21","01:08:28","77","477"
Gång,2025-07-19 13:47:43,false,"Rauma Gång","2.12","557","01:34:02","120","155","2.1","45","160","44:27","6:24","284","50","0.51","0.0","5,324","Nej","00:05:40.3","3","00:33:19","01:48:36","221","477"
Gång,2025-07-17 09:54:05,false,"Lom Gång","5.67","1,212","03:13:52","128","178","3.5","64","160","34:09","3:23","1,406","728","0.47","0.0","15,260","Nej","00:18:24","4","01:36:22","04:32:15","1,299","2,466"
Gång,2025-07-17 08:06:48,false,"Lom Gång","1.33","287","00:47:28","117","152","2.2","59","160","35:37","9:42","43","86","0.48","0.0","2,898","Nej","00:47:28","1","00:24:33","00:47:28","1,113","1,206"
Löpning,2025-07-13 16:14:43,false,"Base","8.10","502","00:45:41","157","177","4.1","157","183","5:39","4:40","--","--","1.13","0.0","7,172","Nej","00:11:41","2","00:45:41","00:45:41","--","--"
Löpning,2025-07-06 16:21:08,false,"Västerås Löpning","18.01","1,195","01:40:22","169","178","5.0","158","171","5:34","4:18","191","192","1.13","0.0","15,910","Nej","01:40:22","1","01:40:11","01:42:45","9","62"
Löpning,2025-07-04 16:23:48,false,"Västerås Löpning","7.45","533","00:43:59","166","183","4.7","156","169","5:54","4:08","121","124","1.09","0.0","6,858","Nej","00:43:59","1","00:43:59","00:43:59","21","52"
Löpning,2025-06-29 14:21:32,false,"Västerås Löpning","6.51","447","00:36:48","172","184","4.3","159","175","5:39","4:15","67","74","1.11","0.0","5,866","Nej","00:36:48","1","00:36:27","00:36:48","10","52"
Löpning,2025-06-22 11:25:26,false,"Västerås Löpning","15.70","1,013","01:28:13","166","179","5.0","158","168","5:37","4:33","150","162","1.12","0.0","14,006","Nej","01:28:13","1","01:27:59","01:39:00","9","62"
Löpning,2025-06-15 11:10:52,false,"Västerås Löpning","10.78","726","00:58:37","178","190","5.0","158","173","5:26","4:23","86","98","1.16","0.0","9,298","Nej","00:58:37","1","00:58:27","01:10:15","9","57"
Löpning,2025-06-01 15:37:33,false,"Västerås Löpning","16.68","1,107","01:33:23","171","181","5.0","158","166","5:36","4:23","125","127","1.13","0.0","14,726","Nej","01:33:23","1","01:33:17","01:33:23","9","62"
Löpning,2025-05-28 17:30:26,false,"Västerås Löpning","3.86","274","00:22:45","165","187","3.5","156","165","5:53","4:27","93","88","1.09","0.0","3,542","Nej","00:22:45","1","00:22:45","00:22:45","21","61"
Löpning,2025-05-25 15:26:54,false,"Västerås Löpning","17.07","1,107","01:35:11","165","179","5.0","159","172","5:35","4:37","138","142","1.12","0.0","15,174","Nej","01:35:11","1","01:35:05","01:36:43","9","62"
Löpning,2025-05-16 16:56:23,false,"Löpning","8.05","529","00:45:38","165","182","4.2","157","167","5:40","4:59","--","--","1.12","0.0","7,174","Nej","00:45:38","1","00:45:36","00:46:19","--","--"
Löpning,2025-05-11 16:11:16,false,"Västerås Löpning","16.47","1,063","01:34:30","164","175","5.0","160","172","5:44","4:21","80","100","1.09","0.0","15,086","Nej","01:34:30","1","01:34:27","01:37:14","9","60"
Löpning,2025-05-09 17:14:49,false,"Västerås Löpning","7.77","501","00:43:58","165","183","4.2","157","167","5:39","3:58","89","89","1.12","0.0","6,924","Nej","00:43:58","1","00:43:58","00:43:58","20","52"
Löpning,2025-05-04 15:05:29,false,"Löpning","16.43","1,028","01:29:15","167","180","5.0","160","167","5:26","4:43","--","--","1.15","0.0","14,282","Nej","01:29:15","1","01:29:15","01:29:15","--","--"
Löpning,2025-05-01 17:22:31,false,"Västerås Löpning","4.47","310","00:26:48","159","178","3.6","156","166","5:59","4:42","52","54","1.07","0.0","4,192","Nej","00:26:48","1","00:26:48","00:26:48","21","48"
Löpning,2025-04-27 14:44:00,false,"Västerås Löpning","14.77","989","01:23:39","167","178","5.0","157","163","5:40","4:38","152","153","1.12","0.0","13,166","Nej","01:23:39","1","01:23:37","01:23:55","9","62"
Löpning,2025-04-25 17:25:51,false,"Löpning","9.13","591","00:50:26","168","185","4.9","157","170","5:31","4:23","--","--","1.15","0.0","7,926","Nej","00:50:26","1","00:50:25","00:50:26","--","--"
Löpning,2025-04-17 15:49:23,false,"Västerås Löpning","6.14","393","00:35:14","163","186","3.8","159","175","5:44","3:43","42","41","1.10","0.0","5,614","Nej","00:35:14","1","00:35:13","00:35:14","19","42"
Löpning,2025-04-06 16:28:34,false,"Västerås Löpning","14.57","931","01:20:47","160","175","5.0","159","170","5:33","4:25","124","126","1.13","0.0","12,858","Nej","01:20:47","1","01:20:34","01:23:37","9","62"
Löpning,2025-04-04 17:16:58,false,"Västerås Löpning","7.30","449","00:37:39","167","178","4.3","160","183","5:09","3:49","52","49","1.21","0.0","6,038","Nej","00:37:39","1","00:37:29","00:39:13","7","39"
Löpning,2025-04-02 17:59:46,false,"Västerås Löpning","4.61","283","00:26:04","154","182","3.4","148","175","5:39","3:56","30","31","1.20","0.0","3,864","Nej","00:26:04","1","00:26:04","00:26:04","19","39"
Löpning,2025-03-30 17:21:03,false,"Västerås Löpning","9.46","632","00:54:21","156","176","4.7","156","172","5:45","4:38","80","79","1.12","0.0","8,538","Nej","00:54:21","1","00:54:18","00:54:21","9","62"
Löpning,2025-03-28 16:57:45,false,"Västerås Löpning","8.41","524","00:43:25","163","183","5.0","159","177","5:10","3:57","42","43","1.22","0.0","6,912","Nej","00:43:25","1","00:43:20","00:44:09","7","28"
Löpning,2025-03-23 17:18:42,false,"Västerås Löpning","9.22","589","00:50:57","160","177","5.0","158","163","5:31","4:47","52","53","1.15","0.0","8,042","Nej","00:50:57","1","00:50:57","00:50:57","9","40"
Löpning,2025-03-21 17:24:36,false,"Base","6.23","384","00:32:54","172","184","4.4","159","171","5:17","4:25","--","--","1.19","0.0","5,248","Nej","00:32:54","1","00:32:52","00:32:54","--","--"
Löpning,2025-03-19 19:50:21,false,"Västerås - Base","6.46","369","00:34:26","159","181","3.9","158","181","5:20","4:25","6","7","1.19","0.0","5,432","Nej","00:00:25.6","2","00:34:25","00:34:26","21","31"
Löpning,2025-03-09 17:32:54,false,"Västerås Löpning","8.53","548","00:46:59","167","177","5.0","158","166","5:31","4:51","25","26","1.15","0.0","7,398","Nej","00:46:59","1","00:46:59","00:46:59","9","27"
Löpning,2025-03-07 17:00:18,false,"Västerås - Base","5.87","356","00:29:29","170","186","4.6","159","185","5:02","3:40","20","20","1.25","0.0","4,690","Nej","00:29:29","1","00:29:22","00:30:38","19","30"
Löpning,2025-03-04 17:40:55,false,"Västerås Löpning","5.73","355","00:31:02","163","176","4.3","158","164","5:25","4:50","17","18","1.17","0.0","4,908","Nej","00:31:02","1","00:31:02","00:31:02","19","31"
Löpning,2025-03-02 11:36:04,false,"Base","2.78","147","00:14:37","153","177","2.8","161","166","5:16","4:45","--","--","1.18","0.0","2,344","Nej","00:14:37","1","00:14:37","00:14:37","--","--"
Löpning,2025-02-22 08:51:21,false,"Göteborg Löpning","8.75","567","00:51:40","168","187","5.0","158","183","5:54","3:50","75","74","1.07","0.0","8,190","Nej","00:51:40","1","00:51:23","00:54:15","-9","74"
Löpning,2024-12-30 16:12:16,false,"Västerås - Base","5.36","343","00:29:21","161","175","4.1","159","168","5:29","4:29","33","37","1.15","0.0","4,662","Nej","00:29:21","1","00:29:20","00:29:21","16","49"
Löpning,2024-12-25 15:08:06,false,"Västerås Löpning","6.83","453","00:39:07","165","184","4.3","160","209","5:43","2:47","58","61","1.09","0.0","6,254","Nej","00:39:07","1","00:39:05","00:42:31","9","44"
Löpning,2024-12-22 10:38:56,false,"Västerås - Base","6.43","430","00:37:08","164","182","4.5","156","164","5:47","4:59","38","40","1.11","0.0","5,782","Nej","00:00:01.0","6","00:36:29","00:37:27","9","35"
Löpning,2024-11-03 14:03:23,false,"Västerås Löpning","4.28","309","00:25:53","167","181","3.8","157","171","6:03","4:18","59","48","1.05","0.0","4,100","Nej","00:25:53","1","00:25:53","00:25:57","21","52"
Löpning,2024-11-03 13:38:05,false,"Västerås Löpning","2.44","163","00:17:19","141","169","2.5","129","206","7:06","3:39","6","12","1.10","0.0","2,366","Nej","00:17:19","1","00:14:01","00:17:19","23","37"
Löpning,2024-10-28 17:18:39,false,"Löpning","10.53","618","00:55:17","163","178","4.6","157","170","5:15","4:35","--","--","1.21","0.0","8,678","Nej","00:55:17","1","00:55:13","00:55:17","--","--"
Löpning,2024-10-17 18:40:04,false,"Västerås Löpning","10.70","679","00:53:35","181","190","5.0","161","173","5:01","4:15","25","81","1.24","0.0","8,620","Nej","00:53:35","1","00:53:34","00:53:35","21","80"
Löpning,2024-10-04 17:30:36,false,"Västerås Löpning","8.58","571","00:47:53","173","186","5.0","158","172","5:35","4:09","44","56","1.14","0.0","7,574","Nej","00:47:53","1","00:47:50","00:48:13","21","52"
Löpning,2024-09-28 12:03:46,false,"Göteborg Löpning","8.27","463","00:42:06","161","178","4.0","160","216","5:06","3:36","35","105","1.23","0.0","6,762","Nej","00:42:06","1","00:41:56","00:45:28","5","78"
Löpning,2024-09-27 16:52:00,false,"Göteborg Löpning","8.32","550","00:47:55","161","182","4.6","156","177","5:46","4:13","140","140","1.11","0.0","7,546","Nej","00:47:55","1","00:47:19","00:50:57","3","106"
Löpning,2024-09-14 15:55:51,false,"Västerås Löpning","10.20","668","00:55:55","165","180","5.0","158","164","5:29","4:37","91","90","1.15","0.0","8,846","Nej","00:55:55","1","00:55:55","00:55:55","9","58"
Löpning,2024-09-04 17:51:10,false,"Västerås Löpning","7.64","543","00:47:47","168","181","4.2","155","163","6:15","4:41","82","83","1.03","0.0","7,400","Nej","00:47:47","1","00:47:42","00:48:01","21","52"
Löpning,2024-08-31 20:08:57,false,"Hallstahammar Löpning","0.00","3","00:00:35.0","98","99","0.2","--","--","--","--","--","--","--","0.0","--","Nej","00:00:35.0","1","00:00:00","00:00:35.0","18","19"
Löpning,2024-08-28 18:00:31,false,"Blodomloppet 2024","9.97","663","00:51:52","182","195","5.0","158","173","5:12","3:58","80","79","1.22","0.0","8,216","Nej","00:51:52","1","00:51:36","00:51:52","8","46"
Löpning,2024-08-24 16:43:22,false,"Västerås Löpning","10.22","661","00:55:31","167","182","5.0","158","166","5:26","4:21","55","45","1.16","0.0","8,780","Nej","00:55:31","1","00:55:30","00:55:31","7","40"
Löpning,2024-08-21 18:21:57,false,"Västerås Löpning","10.34","685","00:57:21","170","182","5.0","158","163","5:33","4:50","52","52","1.14","0.0","9,066","Nej","00:57:21","1","00:57:21","00:57:21","8","39"
Löpning,2024-08-18 16:48:47,false,"Västerås Löpning","10.01","663","00:58:25","168","180","4.9","158","168","5:50","4:44","39","27","1.08","0.0","9,236","Nej","00:58:25","1","00:58:23","00:58:25","9","39"
Löpning,2024-08-14 17:54:54,false,"Löpning","9.45","649","00:57:47","167","186","5.0","157","168","6:07","4:40","--","--","1.04","0.0","9,058","Nej","00:57:47","1","00:57:42","00:57:47","--","--"
Löpning,2024-08-11 14:31:05,false,"Västerås Löpning","11.27","737","01:05:16","169","178","5.0","157","164","5:47","4:36","54","53","1.10","0.0","10,222","Nej","01:05:16","1","01:05:12","01:05:16","8","39"
Löpning,2024-08-07 16:57:13,false,"Västerås Löpning","5.37","369","00:33:46","168","179","3.9","154","166","6:17","4:33","60","63","1.03","0.0","5,206","Nej","00:33:46","1","00:33:40","00:34:17","21","52"
Löpning,2024-08-04 17:04:00,false,"Västerås Löpning","9.99","611","00:54:31","167","182","5.0","158","164","5:27","4:22","54","46","1.16","0.0","8,628","Nej","00:54:31","1","00:54:28","00:54:31","-7","31"
Löpning,2024-07-29 17:07:31,false,"Västerås Löpning","7.57","518","00:46:44","171","182","5.0","157","163","6:10","4:58","6","--","1.03","0.0","7,348","Nej","00:46:44","1","00:46:44","00:46:44","9","16"
Löpning,2024-07-04 17:34:02,false,"Base","4.91","339","00:31:49","165","182","4.2","155","163","6:29","4:47","--","--","1.00","0.0","4,944","Nej","00:31:49","1","00:31:48","00:31:49","--","--"
Löpning,2024-06-23 16:08:12,false,"Västerås - Base","3.38","221","00:20:59","162","181","3.3","154","165","6:13","4:59","47","34","1.04","0.0","3,268","Nej","00:20:59","1","00:20:51","00:21:47","21","51"
Löpning,2024-06-20 17:45:49,false,"Västerås - Base","0.83","45","00:05:04.5","143","185","3.3","150","169","6:06","4:13","--","--","1.09","0.0","800","Nej","00:05:04.5","1","00:04:41","00:18:16","23","26"
Löpning,2024-06-15 16:04:46,false,"Västerås - Base","7.27","486","00:44:28","170","185","5.0","155","177","6:07","4:31","93","95","1.05","0.0","6,904","Nej","00:17:28","2","00:44:28","00:44:28","21","52"
Löpning,2024-06-09 17:07:32,false,"Västerås Löpning","10.01","621","00:55:08","174","187","5.0","157","164","5:30","4:54","67","71","1.15","0.0","8,664","Nej","00:55:08","1","00:55:07","00:55:08","9","51"
Löpning,2024-06-06 12:20:22,false,"Västerås Löpning","2.33","135","00:12:44","163","182","3.2","160","193","5:28","3:18","16","11","1.14","0.0","2,050","Nej","00:12:44","1","00:12:38","00:12:44","21","36"
Löpning,2024-06-06 10:44:43,false,"Västerås Löpning","2.42","146","00:13:07","173","186","3.4","158","168","5:25","4:43","17","9","1.17","0.0","2,104","Nej","00:13:07","1","00:12:53","00:13:07","20","35"
Löpning,2024-06-01 09:59:17,false,"Base","7.80","526","00:45:40","182","196","5.0","155","168","5:51","4:25","--","--","1.10","0.0","7,116","Nej","00:18:40","2","00:45:27","00:45:40","--","--"
Löpning,2024-05-18 09:54:16,false,"Västerås - Base","5.32","402","00:33:52","185","198","5.0","154","168","6:22","4:34","--","24","1.02","0.0","5,268","Nej","00:08:52.2","2","00:33:45","00:33:52","21","46"
Löpning,2024-05-08 18:20:20,false,"Base","4.22","293","00:29:09","159","189","4.2","148","161","6:54","4:54","--","--","0.98","0.0","4,334","Nej","00:04:09.0","2","00:28:43","00:34:31","--","--"
Löpning,2024-04-24 18:27:12,false,"Västerås Löpning","4.09","290","00:28:39","159","191","4.3","151","159","7:01","5:20","39","43","0.94","0.0","4,330","Nej","00:28:39","1","00:28:38","00:28:39","21","51"
